LocationId,ProductId,INSERT INTO COMPANY_SELLS_PRODUCT VALUES
1,2,"(1,2),"
1,7,"(1,7),"
1,8,"(1,8),"
1,9,"(1,9),"
1,10,"(1,10),"
1,11,"(1,11),"
1,13,"(1,13),"
1,14,"(1,14),"
1,16,"(1,16),"
1,18,"(1,18),"
1,20,"(1,20),"
1,21,"(1,21),"
1,22,"(1,22),"
1,23,"(1,23),"
1,25,"(1,25),"
2,1,"(2,1),"
2,2,"(2,2),"
2,3,"(2,3),"
2,4,"(2,4),"
2,5,"(2,5),"
2,7,"(2,7),"
2,9,"(2,9),"
2,11,"(2,11),"
2,12,"(2,12),"
2,13,"(2,13),"
2,14,"(2,14),"
2,15,"(2,15),"
2,16,"(2,16),"
2,17,"(2,17),"
2,19,"(2,19),"
2,20,"(2,20),"
2,21,"(2,21),"
2,22,"(2,22),"
2,24,"(2,24),"
2,25,"(2,25),"
3,2,"(3,2),"
3,3,"(3,3),"
3,4,"(3,4),"
3,5,"(3,5),"
3,6,"(3,6),"
3,8,"(3,8),"
3,9,"(3,9),"
3,10,"(3,10),"
3,11,"(3,11),"
3,12,"(3,12),"
3,13,"(3,13),"
3,14,"(3,14),"
3,17,"(3,17),"
3,18,"(3,18),"
3,20,"(3,20),"
3,22,"(3,22),"
3,24,"(3,24),"
3,25,"(3,25),"
